Category,Is Hashtag,Text,Quote,Retweet Count,Favorite Count,Is Reply
music,TRUE,"""RT @tedykeny: my cover of September song by @JPCooperMusic #jpcoopermusic #tedykeny @music @TwitterMusic @musicFIRST @JPCooperMusic #music…""",FALSE,3,0,FALSE
music,TRUE,"""Lettuce w John Scofield at The Capitol Theatre 4/20/19
For NYS Music
@lettucefunk j_scofield1955 @lizziemakers… https://t.co/ffrleFjdEm""",FALSE,0,1,FALSE
music,TRUE,"""RT @tedykeny: my cover of September song by @JPCooperMusic #jpcoopermusic #tedykeny @music @TwitterMusic @musicFIRST @JPCooperMusic #music…""",FALSE,3,0,FALSE
music,TRUE,"""@lama_8822 @m7madlj @music""",FALSE,0,0,TRUE
music,TRUE,"""@g18h_ @music __________""",FALSE,0,0,TRUE
music,TRUE,"""@h___r87 @music""",FALSE,0,0,TRUE
music,TRUE,"""my cover of September song by @JPCooperMusic #jpcoopermusic #tedykeny @music @TwitterMusic @musicFIRST… https://t.co/Iu6ibIemio""",FALSE,3,3,FALSE
music,TRUE,"""@UnderbeatI @music @trap @pmm @underbeat @Latinos @CubaMusic Muy duro bajo el sello audiovisual discografico de Und… https://t.co/0z9PQabPJO""",FALSE,0,2,TRUE
music,TRUE,"""@shilll9 @music ______.""",FALSE,0,2,TRUE
music,TRUE,"""@_llwr @music""",FALSE,0,2,TRUE
music,TRUE,"""RT @SlimeLordSlump: The ""Mini"" EP is Finally been Released.
'Two Weeks Before' Available To Listen To On Soundcloud:
@TapSongz @UMUnderdog…""",FALSE,1,0,FALSE
music,TRUE,"""@bestsinger @artistlife @stagelight @ledvideowall @stageledwall @music @guitar @blueshade @mic @smokeefect https://t.co/b4m7mAVJSl""",FALSE,0,0,FALSE
music,TRUE,"""5_19_(_)@Music bar burrows
___________MUSIC CHILDREN TOUR_
__16:00 __17:00
O.A ______(16:30~16:50)
__3,500_ (1D__)
https://t.co/Jyk8o23Kqk""",TRUE,0,1,FALSE
music,TRUE,"""Stunner Bizzle Finally Releases “Refuse To Quit” Album https://t.co/9o1ctr5k8q via @Music Arena Gh""",FALSE,0,0,FALSE
music,TRUE,"""Stray kids's Hyunjin Interviewed BTS @Music Core
https://t.co/12aE0rGPSc 

#BTS #BoywithLuv #BTSComeback… https://t.co/VXf9QdFfck""",FALSE,0,0,FALSE
music,TRUE,"""@CptCheapr @music @YouTube C'était y a longtemps __""",FALSE,0,1,TRUE
music,TRUE,"""The ""Mini"" EP is Finally been Released.
'Two Weeks Before' Available To Listen To On Soundcloud:
@TapSongz… https://t.co/bLlaI4dNgh""",FALSE,1,3,FALSE
music,TRUE,"""____music______
________ _ __________

https://t.co/7kefo1DTuU""",FALSE,0,0,FALSE
music,TRUE,"""Ini Kamoze - Here Comes the Hotstepper (Video Version) @music https://t.co/u7bZa8bWaB via @YouTube""",FALSE,0,1,FALSE
music,TRUE,"""RT @DillonL62139311: @music @YouTube https://t.co/PiU7emG2IO""",TRUE,1,0,FALSE
music,TRUE,"""@music @YouTube https://t.co/PiU7emG2IO""",TRUE,1,0,FALSE
music,TRUE,"""RT @AWAKE_MONSTAR: __18:00_
NIGHT STAR vol.11
@MUSIC YAAD https://t.co/YmhUeLw0El""",FALSE,6,0,FALSE
music,TRUE,"""RT @AWAKE_MONSTAR: __18:00_
NIGHT STAR vol.11
@MUSIC YAAD https://t.co/YmhUeLw0El""",FALSE,6,0,FALSE
music,TRUE,"""RT @UnderbeatI: Hola a todos Underbeat_Audiovisual_Discografy_IND. presenta un nuevo talento de la música urbana,su nombre es kizam B lo pu…""",FALSE,1,0,FALSE
music,TRUE,"""Hola a todos Underbeat_Audiovisual_Discografy_IND. presenta un nuevo talento de la música urbana,su nombre es kizam… https://t.co/ZyXHV7vHI5""",FALSE,1,2,FALSE
music,TRUE,"""RT @AWAKE_MONSTAR: __18:00_
NIGHT STAR vol.11
@MUSIC YAAD https://t.co/YmhUeLw0El""",FALSE,6,0,FALSE
music,TRUE,"""Damn! @PaulaAbdul goes hard and kicks ass STRAIGHT UP! I was even clapping at home #BillboardMusicAwards… https://t.co/bhYfohbsBC""",FALSE,0,1,FALSE
music,TRUE,"""RT @AWAKE_MONSTAR: __18:00_
NIGHT STAR vol.11
@MUSIC YAAD https://t.co/YmhUeLw0El""",FALSE,6,0,FALSE
music,TRUE,"""RT @AWAKE_MONSTAR: __18:00_
NIGHT STAR vol.11
@MUSIC YAAD https://t.co/YmhUeLw0El""",FALSE,6,0,FALSE
music,TRUE,"""First day shoot.@music video @ZeeTV @Dhoommusic https://t.co/roeXVSAIeZ""",FALSE,0,2,FALSE
music,TRUE,"""@music 
_____________
__________________________
_______________
__________________
__________________
______OK___________""",FALSE,0,0,FALSE
music,TRUE,"""Such an exhilarating feeling performing my new original song, “Love Myself”, on stage __ this song will be availabl… https://t.co/sXtCDIdSTJ""",FALSE,0,2,FALSE
music,TRUE,"""__18:00_
NIGHT STAR vol.11
@MUSIC YAAD https://t.co/YmhUeLw0El""",FALSE,6,2,FALSE
music,TRUE,"""RT @EzequielDuarteA: “Fui consumiendo infiernos para salir de vos”
-
-
-
-
-
#me #man #music #cover #ukulele #ukelele #unpacto #bersuit #si…""",FALSE,1,0,FALSE
music,TRUE,"""RT @ThimoVi: https://t.co/yT9TDL94Ik
@music @SonyMusicFr""",FALSE,1,0,FALSE
music,TRUE,"""@BBMAs @Music @BBMAs 2019 Red Carpet Live Stream Watch | @billboard Stream and watch the 2019 BBMAs red carpet live… https://t.co/wrwhiEYpks""",FALSE,0,1,FALSE
